station,region,lat_req,lon_req,lat_actual,lon_actual,date,sst_c
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-08-16 12:00:00.000000000,26.1067
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-09-16 00:00:00.000000000,23.4831
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-10-16 12:00:00.000000000,19.2770
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-11-16 00:00:00.000000000,13.4255
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-12-16 12:00:00.000000000,9.9734
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-01-16 12:00:00.000000000,7.0724
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-02-15 12:00:00.000000000,5.9782
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-03-16 12:00:00.000000000,6.9536
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-04-16 00:00:00.000000000,9.5770
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-05-16 12:00:00.000000000,12.9525
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-06-16 00:00:00.000000000,17.3487
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-07-16 12:00:00.000000000,21.5318
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-08-16 12:00:00.000000000,25.5057
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-09-16 00:00:00.000000000,23.5651
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-10-16 12:00:00.000000000,19.1240
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-11-16 00:00:00.000000000,15.4745
인천,서해,37.4519,126.5922,37.5000,126.5000,1888-12-16 12:00:00.000000000,10.0414
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-01-16 12:00:00.000000000,7.4414
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-02-15 00:00:00.000000000,5.3262
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-03-16 12:00:00.000000000,5.9406
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-04-16 00:00:00.000000000,8.3190
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-05-16 12:00:00.000000000,13.2385
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-06-16 00:00:00.000000000,18.4057
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-07-16 12:00:00.000000000,22.5418
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-08-16 12:00:00.000000000,25.3457
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-09-16 00:00:00.000000000,23.3851
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-10-16 12:00:00.000000000,19.1380
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-11-16 00:00:00.000000000,14.1835
인천,서해,37.4519,126.5922,37.5000,126.5000,1889-12-16 12:00:00.000000000,9.9964
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-01-16 12:00:00.000000000,6.6144
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-02-15 00:00:00.000000000,5.7872
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-03-16 12:00:00.000000000,5.6586
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-04-16 00:00:00.000000000,8.2540
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-05-16 12:00:00.000000000,12.4515
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-06-16 00:00:00.000000000,18.0607
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-07-16 12:00:00.000000000,22.4118
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-08-16 12:00:00.000000000,25.4527
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-09-16 00:00:00.000000000,23.1891
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-10-16 12:00:00.000000000,19.0670
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-11-16 00:00:00.000000000,14.0175
인천,서해,37.4519,126.5922,37.5000,126.5000,1890-12-16 12:00:00.000000000,9.0824
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-01-16 12:00:00.000000000,6.1474
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-02-15 00:00:00.000000000,5.2312
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-03-16 12:00:00.000000000,5.7326
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-04-16 00:00:00.000000000,8.0160
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-05-16 12:00:00.000000000,12.3185
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-06-16 00:00:00.000000000,17.0177
인천,서해,37.4519,126.5922,37.5000,126.5000,1891-07-16 12:00:00.000000000,21.6938
