note,line,ref,base,ranges,span,state,excluded,changed,deleted
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,33,[file=src/SwanCompUnstruc.ftn90 line=66-83],SwanCompUnstruc.ftn90,66-83,18,RESOLVED,False,True,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,37,[file=src/SwanGriddata.ftn90 line=60-85],SwanGriddata.ftn90,60-85,26,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,44,[file=src/SwanGridobjects.ftn90 line=152-193],SwanGridobjects.ftn90,152-193,42,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,48,[file=src/SwanGridVert.ftn90 line=91],SwanGridVert.ftn90,91-91,1,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,49,[file=src/SwanPrepComp.ftn90 line=81-85],SwanPrepComp.ftn90,81-85,5,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,52,[file=src/SwanGridCell.ftn90 line=144-149],SwanGridCell.ftn90,144-149,6,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,53,[file=src/SwanGridFace.ftn90 line=140-143],SwanGridFace.ftn90,140-143,4,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,54,[file=src/SwanGridCell.ftn90 line=278-350],SwanGridCell.ftn90,278-350,73,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,60,[file=src/SwanPropvelX.ftn90 line=1],SwanPropvelX.ftn90,1-1,1,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,61,[file=src/SwanPropvelX.ftn90 line=87-89],SwanPropvelX.ftn90,87-89,3,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,62,[file=src/SwanPropvelX.ftn90 line=94-101],SwanPropvelX.ftn90,94-101,8,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,63,[file=src/SwanPropvelX.ftn90 line=105-110],SwanPropvelX.ftn90,105-110,6,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,64,[file=src/SwanCompUnstruc.ftn90 line=918],SwanCompUnstruc.ftn90,918-918,1,RESOLVED,False,True,False
