note,note_line,ref,status,source,ranges,span
models/Celeris/source-analysis/celeris-sediment.md,135,js/main.js:1361,RESOLVED_BY_SCOPE,js/main.js,1361-1361,1
models/Celeris/source-analysis/celeris-sediment.md,164,"js/constants_load_calc.js:85-92,508-522",RESOLVED_NARROWED,js/constants_load_calc.js,85-92;508-522,23
models/Celeris/source-analysis/celeris-sediment.md,165,"js/main.js:1898-1901,1943-1946,2133-2143",RESOLVED_BY_SCOPE,js/main.js,1898-1901;1943-1946;2133-2143,19
models/Celeris/source-analysis/celeris-sediment.md,166,js/main.js:1348-1361,RESOLVED_BY_SCOPE,js/main.js,1348-1361,14
models/Celeris/source-analysis/celeris-source-map.md,19,js/main.js:1320-1368,RESOLVED_BY_SCOPE,js/main.js,1320-1368,49
models/Celeris/source-analysis/celeris-source-map.md,27,main.js:1893-2174,RESOLVED_BY_SCOPE,js/main.js,1893-2174,282
models/Celeris/source-analysis/celeris-source-map.md,36,BoundaryPass.wgsl,RESOLVED_BY_SCOPE,shaders/BoundaryPass.wgsl,,0
models/Celeris/source-analysis/celeris-source-map.md,38,BoundaryPass.wgsl,RESOLVED_BY_SCOPE,shaders/BoundaryPass.wgsl,,0
models/Celeris/source-analysis/celeris-source-map.md,41,main.js:1331,RESOLVED_BY_SCOPE,js/main.js,1331-1331,1
models/Celeris/source-analysis/celeris-source-map.md,55,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-source-map.md,57,constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/source-analysis/celeris-source-map.md,57,main.js:1614,RESOLVED_BY_SCOPE,js/main.js,1614-1614,1
models/Celeris/source-analysis/celeris-source-map.md,60,Copy_Data_to_Textures.js,RESOLVED_BY_SCOPE,js/Copy_Data_to_Textures.js,,0
models/Celeris/source-analysis/celeris-source-map.md,68,Handler_BoundaryPass.js,RESOLVED_BY_SCOPE,js/Handler_BoundaryPass.js,,0
models/Celeris/source-analysis/celeris-source-map.md,78,Time_Series.js,RESOLVED_BY_SCOPE,js/Time_Series.js,,0
models/Celeris/source-analysis/celeris-source-map.md,81,Wave_Generator.js,RESOLVED,js/Wave_Generator.js,,0
models/Celeris/source-analysis/celeris-source-map.md,87,display_parameters.js,RESOLVED_BY_SCOPE,js/display_parameters.js,,0
models/Celeris/source-analysis/celeris-source-map.md,88,File_Loader.js,RESOLVED_BY_SCOPE,js/File_Loader.js,,0
models/Celeris/source-analysis/celeris-source-map.md,89,File_Writer.js,RESOLVED_BY_SCOPE,js/File_Writer.js,,0
models/Celeris/source-analysis/celeris-source-map.md,91,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-source-map.md,111,BoundaryPass.wgsl,RESOLVED_BY_SCOPE,shaders/BoundaryPass.wgsl,,0
models/Celeris/source-analysis/celeris-source-map.md,137,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-source-map.md,139,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-source-map.md,145,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-source-map.md,145,main.js:1392-1422,RESOLVED_BY_SCOPE,js/main.js,1392-1422,31
models/Celeris/source-analysis/celeris-source-map.md,145,main.js:1893-2174,RESOLVED_BY_SCOPE,js/main.js,1893-2174,282
models/Celeris/source-analysis/celeris-source-map.md,147,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-source-map.md,159,BoundaryPass.wgsl,RESOLVED_BY_SCOPE,shaders/BoundaryPass.wgsl,,0
models/Celeris/source-analysis/celeris-source-map.md,179,js/main.js:341-426,RESOLVED_BY_SCOPE,js/main.js,341-426,86
models/Celeris/source-analysis/celeris-source-map.md,183,main.js:343-344,RESOLVED_BY_SCOPE,js/main.js,343-344,2
models/Celeris/source-analysis/celeris-source-map.md,184,main.js:347-348,RESOLVED_BY_SCOPE,js/main.js,347-348,2
models/Celeris/source-analysis/celeris-source-map.md,185,main.js:341,RESOLVED_BY_SCOPE,js/main.js,341-341,1
models/Celeris/source-analysis/celeris-source-map.md,186,main.js:342,RESOLVED_BY_SCOPE,js/main.js,342-342,1
models/Celeris/source-analysis/celeris-source-map.md,187,main.js:349-353,RESOLVED_BY_SCOPE,js/main.js,349-353,5
models/Celeris/source-analysis/celeris-source-map.md,188,main.js:352,RESOLVED_BY_SCOPE,js/main.js,352-352,1
models/Celeris/source-analysis/celeris-source-map.md,189,main.js:365-366,RESOLVED_BY_SCOPE,js/main.js,365-366,2
models/Celeris/source-analysis/celeris-source-map.md,190,main.js:369,RESOLVED_BY_SCOPE,js/main.js,369-369,1
models/Celeris/source-analysis/celeris-source-map.md,191,main.js:393-394,RESOLVED_BY_SCOPE,js/main.js,393-394,2
models/Celeris/source-analysis/celeris-source-map.md,192,main.js:395-396,RESOLVED_BY_SCOPE,js/main.js,395-396,2
models/Celeris/source-analysis/celeris-source-map.md,193,main.js:405,RESOLVED_BY_SCOPE,js/main.js,405-405,1
models/Celeris/source-analysis/celeris-source-map.md,201,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,31,js/main.js:191-195,RESOLVED_BY_SCOPE,js/main.js,191-195,5
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,37,js/main.js:341-456,RESOLVED_BY_SCOPE,js/main.js,341-456,116
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,62,"js/Copy_Data_to_Textures.js:44-47, 56",RESOLVED_BY_SCOPE,js/Copy_Data_to_Textures.js,44-47;56-56,5
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,95,js/main.js:2146-2147,RESOLVED_BY_SCOPE,js/main.js,2146-2147,2
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,148,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,154,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,154,js/main.js:1098,RESOLVED_BY_SCOPE,js/main.js,1098-1098,1
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,162,js/main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,173,js/Copy_Data_to_Textures.js,RESOLVED_BY_SCOPE,js/Copy_Data_to_Textures.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,182,js/constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,226,"js/main.js:2123-2124, 2165-2170",RESOLVED_BY_SCOPE,js/main.js,2123-2124;2165-2170,8
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,232,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,232,js/main.js:1111,RESOLVED_BY_SCOPE,js/main.js,1111-1111,1
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,235,js/main.js:2652,RESOLVED_BY_SCOPE,js/main.js,2652-2652,1
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,238,js/Time_Series.js:58-115,RESOLVED_BY_SCOPE,js/Time_Series.js,58-115,58
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,238,js/main.js:4367,RESOLVED_NARROWED,js/main.js,4367-4367,1
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,243,js/main.js:2184,RESOLVED_BY_SCOPE,js/main.js,2184-2184,1
models/Celeris/web-refs/celeris-coulwave-theory.md,5,constants_load_calc.js:32-34,RESOLVED_BY_SCOPE,js/constants_load_calc.js,32-34,3
models/Celeris/web-refs/celeris-coulwave-theory.md,20,js/constants_load_calc.js:32,RESOLVED_BY_SCOPE,js/constants_load_calc.js,32-32,1
models/Celeris/web-refs/celeris-coulwave-theory.md,47,constants_load_calc.js:33,RESOLVED_BY_SCOPE,js/constants_load_calc.js,33-33,1
