note,note_line,ref,source,old,new,status,note_class
models/EFDC/source-analysis/efdc_ice.md,25,calexp2t.f90:1014-1405,EFDC/calexp2t.f90,1014-1405,1023-1405,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,26,Transport/calconc.f90:296-471,EFDC/Transport/calconc.f90,296-471,308-483,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,28,Waves/mod_windwave.f90:191-826,EFDC/Waves/mod_windwave.f90,191-826,193-835,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,29,varalloc.f90:1386-1400,EFDC/varalloc.f90,1386-1400,1386-1399,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,35,input.f90:2524-2530,EFDC/input.f90,2524-2530,2621-2627,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,37,mod_scaninp.f90:504-514,EFDC/mod_scaninp.f90,504-514,504-514,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,39,input.f90:6888-6911,EFDC/input.f90,6888-6911,7040-7063,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,43,Transport/mod_heat.f90:1095-1104,EFDC/Transport/mod_heat.f90,1095-1104,1093-1102,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,54,caltsxy.f90:612-704,EFDC/caltsxy.f90,612-704,611-703,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,64,Transport/mod_heat.f90:641-669,EFDC/Transport/mod_heat.f90,641-669,639-667,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,80,caltsxy.f90:713-724,EFDC/caltsxy.f90,713-724,712-723,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,86,calpuv2c.f90:220-226,EFDC/calpuv2c.f90,220-226,220-226,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,86,calpuv9c.f90:565-573,EFDC/calpuv9c.f90,565-573,565-573,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,88,calexp.f90:1374-1385,EFDC/calexp.f90,1374-1385,1317-1328,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,88,calexp2t.f90:1400-1405,EFDC/calexp2t.f90,1400-1405,1400-1405,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,92,caltsxy.f90:755-864,EFDC/caltsxy.f90,755-864,754-863,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,104,Waves/mod_windwave.f90:191-220,EFDC/Waves/mod_windwave.f90,191-220,193-222,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,108,calexp.f90:1091-1097,EFDC/calexp.f90,1091-1097,1091-1097,IDENTICAL,NO_ACTION/REVIEW_ONLY
